#       y_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
             -3      1.6488423              0      1.2490572              0      2.0486274              0
           -2.8      2.1920879              0      1.6208114              0      2.7633644              0
           -2.6       2.997372              0      2.2746571              0      3.7200869              0
           -2.4      4.5386605              0      3.1443826              0      5.9329384              0
           -2.2      5.3865651              0      4.0112654              0      6.7618648              0
             -2       7.526576              0      5.3999892              0      9.6531628              0
           -1.8       9.883389              0      7.8070727              0      11.959705              0
           -1.6      10.594269              0      9.2995995              0      11.888939              0
           -1.4      11.523871              0      8.3638197              0      14.683922              0
           -1.2       15.59206              0      11.538892              0      19.645228              0
             -1      16.931078              0      13.007802              0      20.854354              0
           -0.8      22.971084              0      16.579896              0      29.362271              0
           -0.6      20.316552              0      14.193966              0      26.439139              0
           -0.4      23.106468              0      16.062539              0      30.150397              0
           -0.2      17.411346              0      13.499862              0       21.32283              0
              0       19.20493              0      14.791993              0      23.617867              0
            0.2      20.263182              0      16.687559              0      23.838805              0
            0.4      19.434184              0      15.102818              0       23.76555              0
            0.6      18.246558              0      14.844724              0      21.648392              0
            0.8      17.312866              0      14.009329              0      20.616403              0
              1      16.098782              0      12.403139              0      19.794425              0
            1.2      14.987877              0      10.133984              0       19.84177              0
            1.4      11.163545              0      8.7264011              0      13.600689              0
            1.6       9.754238              0      7.5772756              0        11.9312              0
            1.8       7.561209              0      5.4453424              0      9.6770756              0
              2      6.2323655              0      5.0393562              0      7.4253748              0
            2.2      3.5892873              0      2.4993184              0      4.6792562              0
            2.4      3.5291668              0      2.8984546              0       4.159879              0
            2.6       1.982507              0      1.5938585              0      2.3711555              0
            2.8      1.3311054              0      1.0878424              0      1.5743684              0
              3      1.3311054              0      1.0878424              0      1.5743684              0
