#  ptzoom_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       -2.96477              0     -4.1209348              0     -1.8086052              0
              2      12.056701              0      11.664685              0      12.448717              0
              4       1.619046              0      1.4954915              0      1.7426005              0
              6       0.021465              0    -0.06735279              0     0.11028279              0
              8       -0.37575              0    -0.52468073              0    -0.22681927              0
             10      -0.446244              0    -0.47363471              0    -0.41885329              0
             12      -0.165262              0    -0.18999869              0    -0.14052531              0
             14     -0.0827453              0    -0.17365936              0    0.008168764              0
             16      0.0936628              0    -0.01089784              0     0.19822344              0
             18      0.0560627              0    -0.03288919              0     0.14501459              0
             20      0.0637022              0     -0.0477376              0       0.175142              0
             22      0.1537587              0     0.03242783              0     0.27508957              0
             24      0.1851278              0     0.14870283              0     0.22155277              0
             26      0.0985244              0    0.071437543              0     0.12561126              0
             28      0.1183676              0    0.069113646              0     0.16762155              0
             30      0.1629737              0     0.11821982              0     0.20772758              0
             32      0.1797801              0     0.14162692              0     0.21793328              0
             34      0.2180196              0     0.17728614              0     0.25875306              0
             36      0.2197845              0     0.15635779              0     0.28321121              0
             38      0.1506202              0     0.12611086              0     0.17512954              0
             40      0.1868251              0     0.13255339              0     0.24109681              0
             42      0.1452001              0    0.098462428              0     0.19193777              0
             44     0.16434691              0    0.095831563              0     0.23286226              0
             46     0.17821795              0     0.16247455              0     0.19396135              0
             48     0.16365291              0      0.1278773              0     0.19942851              0
             50     0.13619027              0     0.11017022              0     0.16221032              0
             52     0.13031937              0    0.098285399              0     0.16235334              0
             54     0.16172733              0     0.11808882              0     0.20536584              0
             56     0.13836857              0    0.098144941              0      0.1785922              0
             58     0.12119203              0    0.099791385              0     0.14259268              0
             60     0.11688758              0    0.095916049              0     0.13785911              0
             62     0.11492149              0    0.084231142              0     0.14561184              0
             64     0.13284146              0     0.10717748              0     0.15850544              0
             66     0.11973593              0     0.10119458              0     0.13827728              0
             68     0.11973593              0     0.10119458              0     0.13827728              0
