#      pt_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      3.5727781              0      3.5715069              0      3.5740493              0
             20      1.9433158              0      1.9425221              0      1.9441095              0
             40     0.76096678              0     0.76059772              0     0.76133584              0
             60     0.33772833              0     0.33756859              0     0.33788807              0
             80     0.16597557              0     0.16588327              0     0.16606787              0
            100    0.087829781              0    0.087773019              0    0.087886543              0
            120    0.049094114              0    0.049057806              0    0.049130422              0
            140    0.028709787              0    0.028686417              0    0.028733157              0
            160    0.017390667              0    0.017374733              0    0.017406601              0
            180    0.010881509              0    0.010870575              0    0.010892443              0
            200   0.0069864413              0   0.0069789337              0   0.0069939489              0
            220   0.0046010297              0   0.0045957024              0    0.004606357              0
            240   0.0030977175              0   0.0030938651              0   0.0031015699              0
            260   0.0021231592              0   0.0021203413              0   0.0021259771              0
            280   0.0014814671              0   0.0014793413              0   0.0014835929              0
            300   0.0010482226              0   0.0010466405              0   0.0010498047              0
            320  0.00075636363              0  0.00075517331              0  0.00075755395              0
            340  0.00075636363              0  0.00075517331              0  0.00075755395              0
