#      pt_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       0.043041              0    -0.25768502              0     0.34376702              0
             20     -0.1353522              0    -0.20023191              0   -0.070472488              0
             40     -0.0319657              0   -0.099478873              0    0.035547473              0
             60     0.13679871              0    0.092531074              0     0.18106635              0
             80     0.00364848              0   -0.040520525              0    0.047817485              0
            100    -0.02391866              0   -0.067454342              0    0.019617022              0
            120     0.03727552              0     0.01759952              0     0.05695152              0
            140   -0.027307794              0   -0.040958284              0   -0.013657304              0
            160   -0.006199435              0   -0.019160684              0    0.006761814              0
            180    0.003548012              0  -0.0022329225              0   0.0093289465              0
            200   -0.001232044              0  -0.0078344375              0   0.0053703495              0
            220  -0.0057004549              0   -0.010737671              0  -0.0006632387              0
            240  -0.0057004549              0   -0.010737671              0  -0.0006632387              0
