#       y_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
             -3      1.3456679              0     -0.3343524              0      3.0256882              0
           -2.8      -79.54019              0     -83.346119              0     -75.734261              0
           -2.6     -173.42486              0     -182.32124              0     -164.52848              0
           -2.4     -274.62307              0     -287.27457              0     -261.97157              0
           -2.2     -359.48454              0     -377.47498              0      -341.4941              0
             -2      -341.9222              0     -361.59182              0     -322.25258              0
           -1.8      -231.6489              0     -247.23755              0     -216.06025              0
           -1.6       46.90295              0      33.870951              0      59.934949              0
           -1.4      525.20819              0      509.97135              0      540.44503              0
           -1.2       1209.874              0      1177.2138              0      1242.5342              0
             -1      10.790739              0      7.0592012              0      14.522277              0
           -0.8     -365.08569              0     -384.64336              0     -345.52802              0
           -0.6     -671.05946              0     -704.13214              0     -637.98678              0
           -0.4     -856.21949              0     -901.05037              0     -811.38861              0
           -0.2      -867.1392              0     -907.10734              0     -827.17106              0
             -0      -867.1392              0     -907.10734              0     -827.17106              0
