# pxsec-ptHge15        central        num_err    min (scale)        num_err    max (scale)        num_err
      0.2545029     0.18262405              0     0.18249286              0     0.18275524              0
      0.3536306     0.18699013              0     0.18685454              0     0.18712572              0
      0.4913681     0.19297363              0     0.19283761              0     0.19310965              0
      0.6827538      0.2010592              0     0.20092094              0     0.20119746              0
      0.9486833     0.21165395              0     0.21147914              0     0.21182876              0
       1.318191     0.22513548              0     0.22487987              0     0.22539109              0
       1.831621     0.24228528              0     0.24177945              0     0.24279111              0
       2.545029     0.26266522              0     0.26213614              0      0.2631943              0
       3.536306     0.28655028              0     0.28615508              0     0.28694548              0
       4.913681     0.31374318              0     0.31332886              0      0.3141575              0
       6.827538     0.34270128              0     0.34226531              0     0.34313725              0
       9.486833     0.34270128              0     0.34226531              0     0.34313725              0
