# pxsec-ptHge10        central        num_err    min (scale)        num_err    max (scale)        num_err
      0.2545029     0.18605443              0      0.1859225              0     0.18618636              0
      0.3536306     0.19051713              0     0.19038087              0     0.19065339              0
      0.4913681      0.1966154              0     0.19647881              0     0.19675199              0
      0.6827538     0.20485368              0     0.20471489              0     0.20499247              0
      0.9486833     0.21564889              0     0.21547341              0     0.21582437              0
       1.318191     0.22941659              0     0.22916076              0     0.22967242              0
       1.831621     0.24696177              0     0.24645281              0     0.24747073              0
       2.545029     0.26778954              0     0.26725794              0     0.26832114              0
       3.536306     0.29217418              0     0.29177766              0      0.2925707              0
       4.913681      0.3198273              0     0.31941181              0     0.32024279              0
       6.827538      0.3493022              0     0.34886699              0     0.34973741              0
       9.486833      0.3493022              0     0.34886699              0     0.34973741              0
