# pxsec-ptHge20        central        num_err    min (scale)        num_err    max (scale)        num_err
      0.2545029     0.17805536              0     0.17792495              0     0.17818577              0
      0.3536306     0.18230242              0     0.18216782              0     0.18243702              0
      0.4913681     0.18808598              0      0.1879499              0     0.18822206              0
      0.6827538     0.19594377              0     0.19580601              0     0.19608153              0
      0.9486833     0.20627311              0     0.20609864              0     0.20644758              0
       1.318191     0.21944338              0     0.21919025              0     0.21969651              0
       1.831621     0.23617742              0     0.23567539              0     0.23667945              0
       2.545029     0.25612008              0     0.25559499              0     0.25664517              0
       3.536306     0.27948983              0     0.27909438              0     0.27988528              0
       4.913681     0.30590402              0     0.30549115              0     0.30631689              0
       6.827538     0.33401407              0     0.33358171              0     0.33444643              0
       9.486833     0.33401407              0     0.33358171              0     0.33444643              0
