#  pxsec-nocuts        central        num_err    min (scale)        num_err    max (scale)        num_err
      0.2545029     0.19340896              0      0.1932726              0     0.19354532              0
      0.3536306     0.19340896              0      0.1932726              0     0.19354532              0
      0.4913681     0.19340896              0      0.1932726              0     0.19354532              0
      0.6827538     0.19340896              0      0.1932726              0     0.19354532              0
      0.9486833     0.19340896              0      0.1932726              0     0.19354532              0
       1.318191     0.19340896              0      0.1932726              0     0.19354532              0
       1.831621     0.19340896              0      0.1932726              0     0.19354532              0
       2.545029     0.19340896              0      0.1932726              0     0.19354532              0
       3.536306     0.19340896              0      0.1932726              0     0.19354532              0
       4.913681     0.19340896              0      0.1932726              0     0.19354532              0
       6.827538     0.19340896              0      0.1932726              0     0.19354532              0
       9.486833     0.19340896              0      0.1932726              0     0.19354532              0
