#  ptzoom_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      2.4322144              0      2.3568988              0        2.50753              0
              2       6.761446              0      6.6200023              0      6.9028897              0
              4      9.5460162              0      9.3581386              0      9.7338938              0
              6      10.862176              0      10.651132              0       11.07322              0
              8      11.127421              0      10.911571              0      11.343271              0
             10      10.626009              0      10.385677              0      10.866341              0
             12      10.066013              0      9.8355774              0      10.296449              0
             14      9.6167821              0      9.4030347              0      9.8305295              0
             16       8.342639              0       8.158359              0       8.526919              0
             18      7.4908509              0      7.2663925              0      7.7153092              0
             20      7.3812891              0      7.1574055              0      7.6051727              0
             22      6.4059377              0      6.2406387              0      6.5712367              0
             24      5.5152962              0       5.364086              0      5.6665064              0
             26      5.0061371              0      4.8590699              0      5.1532043              0
             28      4.6997605              0      4.5544855              0      4.8450355              0
             30      4.2888903              0      4.1441016              0       4.433679              0
             32      3.8063338              0      3.6573746              0       3.955293              0
             34       3.383293              0      3.2391189              0      3.5274671              0
             36      3.1872592              0      2.9868051              0      3.3877133              0
             38      2.9872341              0      2.7778141              0      3.1966541              0
             40      2.4880971              0      2.3409615              0      2.6352327              0
             42      2.3722017              0      2.2493019              0      2.4951015              0
             44         2.1228              0      2.0031672              0      2.2424329              0
             46      1.9295622              0      1.8061257              0      2.0529987              0
             48      1.9713573              0      1.8465224              0      2.0961921              0
             50      1.5559164              0      1.4512102              0      1.6606226              0
             52      1.4377353              0      1.3538676              0       1.521603              0
             54      1.2769376              0      1.2015619              0      1.3523133              0
             56      1.4813855              0       1.400207              0       1.562564              0
             58      1.2307195              0      1.1320118              0      1.3294272              0
             60      1.0231926              0     0.93273943              0      1.1136458              0
             62      1.0121324              0     0.94381748              0      1.0804473              0
             64     0.88457513              0     0.81419143              0     0.95495883              0
             66     0.84155694              0     0.75226487              0     0.93084901              0
             68     0.84155694              0     0.75226487              0     0.93084901              0
