#      pt_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0        0.12698              0     0.12128634              0     0.13267366              0
             30    -0.02294985              0   -0.023811661              0   -0.022088039              0
             60    -0.00191108              0  -0.0022033384              0  -0.0016188216              0
             90      0.0001853              0  -4.021718e-05              0  0.00041081718              0
            120    0.000220342              0   5.868051e-05              0  0.00038200349              0
            150    0.000112152              0  5.4011325e-05              0  0.00017029267              0
            180   0.0001432406              0  6.3384392e-05              0  0.00022309681              0
            210   0.0001165182              0  7.6992317e-05              0  0.00015604408              0
            240    9.17136e-05              0  7.8979917e-05              0  0.00010444728              0
            270    5.99734e-05              0  3.1789361e-05              0  8.8157439e-05              0
            300   5.175211e-05              0  3.6363048e-05              0  6.7141172e-05              0
            330   5.175211e-05              0  3.6363048e-05              0  6.7141172e-05              0
