#      pt_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      8.6871568              0       8.657036              0      8.7172776              0
             20      4.6661431              0      4.6391572              0       4.693129              0
             40      1.7866713              0      1.7687327              0      1.8046099              0
             60     0.78581041              0      0.7724334              0     0.79918742              0
             80     0.36882639              0     0.35936063              0     0.37829215              0
            100     0.19973139              0       0.190204              0     0.20925878              0
            120     0.11326618              0     0.10719144              0     0.11934092              0
            140    0.062193239              0    0.058525743              0    0.065860735              0
            160    0.032914094              0    0.030275544              0    0.035552644              0
            180    0.026127857              0    0.023441982              0    0.028813732              0
            200    0.018091508              0    0.016191386              0     0.01999163              0
            220   0.0034866601              0   0.0012397705              0   0.0057335497              0
            240   0.0034866601              0   0.0012397705              0   0.0057335497              0
