#  ptzoom_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      -10.31655              0     -12.487661              0     -8.1454392              0
              2      19.993138              0      19.449273              0      20.537003              0
              4       2.107967              0      1.4262912              0      2.7896428              0
              6      -1.345746              0     -1.7622116              0    -0.92928041              0
              8      -1.425585              0     -2.0063823              0    -0.84478768              0
             10      -1.617498              0     -2.0850256              0     -1.1499704              0
             12      -0.585823              0    -0.98616206              0    -0.18548394              0
             14      -0.264645              0    -0.92481268              0     0.39552268              0
             16      -1.153457              0     -1.7746299              0    -0.53228406              0
             18     -0.0608611              0    -0.48414517              0     0.36242297              0
             20     -0.1030039              0      -0.558579              0      0.3525712              0
             22     -0.7573233              0     -1.1737743              0    -0.34087228              0
             24      0.3447222              0    -0.17868219              0     0.86812659              0
             26     -0.7326808              0     -1.1576893              0    -0.30767227              0
             28      0.2880996              0    -0.03205881              0     0.60825801              0
             30      0.0003622              0    -0.41892092              0     0.41964532              0
             32      0.3332087              0    -0.01696416              0     0.68338156              0
             34      0.2690979              0    -0.17568335              0     0.71387915              0
             36     -0.0256161              0    -0.42290495              0     0.37167275              0
             38     -0.0268087              0    -0.37526251              0     0.32164511              0
             40      0.0069596              0    -0.30897974              0     0.32289894              0
             42      0.0069596              0    -0.30897974              0     0.32289894              0
