#       y_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
             -3      0.2891889              0     0.26433568              0     0.31404212              0
           -2.6      0.5677477              0     0.52739657              0     0.60809883              0
           -2.2        0.92271              0     0.86674687              0     0.97867313              0
           -1.8        0.89677              0     0.76870971              0      1.0248303              0
           -1.4       1.535763              0      1.3320318              0      1.7394942              0
             -1        2.15234              0      1.9353798              0      2.3693002              0
           -0.6       2.348969              0      1.7789745              0      2.9189635              0
           -0.2       2.026459              0      1.5910156              0      2.4619024              0
            0.2       1.864508              0      1.6457625              0      2.0832536              0
            0.6       1.936853              0      1.4756359              0      2.3980701              0
              1       1.996332              0        1.78545              0       2.207214              0
            1.4       1.361549              0      1.1066857              0      1.6164123              0
            1.8        1.00031              0     0.84111411              0      1.1595059              0
            2.2      0.5128487              0     0.50744948              0     0.51824792              0
            2.6       0.318439              0     0.31360568              0     0.32327232              0
              3       0.318439              0     0.31360568              0     0.32327232              0
