#      pt_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      -804.0244              0     -804.30356              0     -803.74524              0
             20      -1.648622              0     -1.7357297              0     -1.5615143              0
             40      -0.135135              0     -0.1705712              0     -0.0996988              0
             60     -0.0159444              0   -0.034186819              0    0.002298019              0
             80      0.0192076              0    0.008844287              0    0.029570913              0
            100      0.0324585              0    0.026155464              0    0.038761536              0
            120     0.02650821              0    0.022495515              0    0.030520905              0
            140     0.01803001              0     0.01536762              0      0.0206924              0
            160     0.01494471              0     0.01311931              0     0.01677011              0
            180     0.01255664              0    0.011364682              0    0.013748599              0
            200     0.00865424              0   0.0078364436              0   0.0094720364              0
            220    0.007344952              0   0.0067835478              0   0.0079063562              0
            240     0.00557767              0   0.0051760307              0   0.0059793093              0
            260    0.005020107              0   0.0047232712              0   0.0053169428              0
            280    0.004578805              0   0.0043726348              0   0.0047849752              0
            300    0.003427016              0    0.003273054              0   0.0035809781              0
            320    0.002457901              0   0.0023412874              0   0.0025745146              0
            340    0.002457901              0   0.0023412874              0   0.0025745146              0
