#       y_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
             -3      -4.841096              0     -4.8482867              0     -4.8339053              0
           -2.8     -7.0630259              0     -7.0733625              0     -7.0526893              0
           -2.6     -9.7756483              0     -9.7917822              0     -9.7595144              0
           -2.4     -12.811028              0     -12.831857              0     -12.790199              0
           -2.2     -16.261458              0     -16.289135              0     -16.233781              0
             -2     -19.860155              0     -19.893245              0     -19.827065              0
           -1.8     -23.561163              0     -23.600264              0     -23.522062              0
           -1.6     -27.313212              0     -27.360473              0     -27.265951              0
           -1.4     -30.808654              0     -30.862604              0     -30.754704              0
           -1.2     -33.925337              0     -33.984319              0     -33.866355              0
             -1     -36.863567              0     -36.929341              0     -36.797793              0
           -0.8     -39.010365              0     -39.078134              0     -38.942596              0
           -0.6     -40.925733              0     -41.002273              0     -40.849193              0
           -0.4     -42.038375              0     -42.114382              0     -41.962368              0
           -0.2     -42.982349              0     -43.059039              0     -42.905659              0
              0     -42.931119              0     -43.006806              0     -42.855432              0
            0.2      -42.41414              0     -42.490028              0     -42.338252              0
            0.4     -40.975048              0     -41.046942              0     -40.903154              0
            0.6     -39.316167              0     -39.383365              0     -39.248969              0
            0.8     -36.836045              0      -36.89691              0      -36.77518              0
              1     -34.007054              0     -34.065132              0     -33.948976              0
            1.2     -30.587518              0     -30.637337              0     -30.537699              0
            1.4     -27.224317              0     -27.266756              0     -27.181878              0
            1.6     -23.593573              0     -23.629316              0      -23.55783              0
            1.8     -19.825005              0     -19.854368              0     -19.795642              0
              2     -16.247132              0     -16.270428              0     -16.223836              0
            2.2     -12.839252              0     -12.858127              0     -12.820377              0
            2.4     -9.7495661              0     -9.7624995              0     -9.7366327              0
            2.6       -7.09248              0     -7.1019474              0     -7.0830126              0
            2.8     -4.8482989              0     -4.8541461              0     -4.8424517              0
              3     -4.8482989              0     -4.8541461              0     -4.8424517              0
