#  ptzoom_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     -824.40219              0     -824.88179              0     -823.92259              0
              2       24.03585              0      23.828791              0      24.242909              0
              4       2.796507              0      2.6538234              0      2.9391906              0
              6      -0.737205              0      -0.846653              0      -0.627757              0
              8      -1.282741              0     -1.3743037              0     -1.1911783              0
             10      -1.159789              0     -1.2383256              0     -1.0812524              0
             12      -0.861364              0    -0.92812414              0    -0.79460386              0
             14      -0.716738              0    -0.77560914              0    -0.65786686              0
             16      -0.430931              0    -0.48309845              0    -0.37876355              0
             18      -0.350711              0    -0.39809162              0    -0.30333038              0
             20      -0.191077              0    -0.23427971              0    -0.14787429              0
             22     -0.0768186              0    -0.11572681              0   -0.037910395              0
             24     -0.0618686              0   -0.097007135              0   -0.026730065              0
             26     -0.0550963              0   -0.086694261              0   -0.023498339              0
             28     -0.0249376              0   -0.054325547              0    0.004450347              0
             30      0.0260238              0   -0.001092218              0    0.053139818              0
             32      0.0535206              0    0.029136581              0    0.077904619              0
             34      0.0883573              0    0.065908158              0     0.11080644              0
             36      0.1111921              0    0.090927821              0     0.13145638              0
             38      0.0773067              0     0.05823327              0     0.09638013              0
             40      0.0928192              0    0.075171685              0     0.11046671              0
             42      0.1093565              0    0.093158381              0     0.12555462              0
             44      0.1240388              0     0.10882593              0     0.13925167              0
             46       0.100853              0    0.086851115              0     0.11485489              0
             48      0.1083818              0    0.095189838              0     0.12157376              0
             50      0.1080265              0    0.095696915              0     0.12035609              0
             52      0.0953669              0    0.083563654              0     0.10717015              0
             54      0.1253134              0     0.11445655              0     0.13617025              0
             56      0.1110513              0      0.1007634              0      0.1213392              0
             58      0.0867068              0    0.076779287              0    0.096634313              0
             60     0.08148559              0    0.072358024              0    0.090613156              0
             62     0.09864245              0    0.090369282              0     0.10691562              0
             64     0.10999193              0      0.1022742              0     0.11770966              0
             66     0.09934615              0    0.091720593              0     0.10697171              0
             68     0.09934615              0    0.091720593              0     0.10697171              0
