#      pt_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      3.1849319              0      3.1844239              0      3.1854399              0
             30     0.99818885              0     0.99802019              0     0.99835751              0
             60     0.28959538              0     0.28954153              0     0.28964923              0
             90     0.10472787              0     0.10470359              0     0.10475215              0
            120    0.043551543              0    0.043539552              0    0.043563534              0
            150    0.019957907              0    0.019951547              0    0.019964267              0
            180   0.0098453306              0   0.0098418248              0   0.0098488364              0
            210   0.0051549573              0   0.0051529302              0   0.0051569844              0
            240   0.0028407836              0   0.0028395674              0   0.0028419998              0
            270   0.0016343667              0   0.0016336061              0   0.0016351273              0
            300  0.00097464363              0  0.00097415401              0  0.00097513325              0
            330  0.00097464363              0  0.00097415401              0  0.00097513325              0
