#  ptzoom_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      1.8476865              0      1.8473727              0      1.8480003              0
              4      4.1358514              0      4.1350922              0      4.1366106              0
              8      4.4872714              0      4.4862724              0      4.4882704              0
             12      4.0164134              0      4.0153962              0      4.0174306              0
             16      3.3746437              0      3.3737081              0      3.3755793              0
             20      2.7771863              0      2.7763535              0      2.7780191              0
             24      2.2735908              0      2.2728687              0      2.2743129              0
             28      1.8625461              0      1.8619213              0      1.8631709              0
             32      1.5301157              0      1.5295722              0      1.5306592              0
             36      1.2638909              0       1.263419              0      1.2643628              0
             40       1.048841              0       1.048434              0       1.049248              0
             44     0.87557477              0     0.87521768              0     0.87593186              0
             48     0.73443808              0     0.73412676              0      0.7347494              0
             52     0.73443808              0     0.73412676              0      0.7347494              0
