#  ptzoom_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      773.80763              0       772.2148              0      775.40046              0
              2      19.814076              0      18.357396              0      21.270756              0
              4       3.292436              0      2.4529603              0      4.1319117              0
              6      -0.786567              0     -1.5854928              0     0.01235884              0
              8      -2.982646              0     -3.9447198              0     -2.0205722              0
             10      -0.828583              0     -1.7943816              0     0.13721558              0
             12      -1.047682              0     -1.8481369              0    -0.24722709              0
             14       1.089993              0     0.35561888              0      1.8243671              0
             16       -2.26373              0     -3.2649693              0     -1.2624907              0
             18     -0.3791441              0     -1.1080083              0      0.3497201              0
             20      0.2916801              0    -0.34963285              0     0.93299305              0
             22      0.0737717              0    -0.55057163              0     0.69811503              0
             24     -1.6988368              0     -2.5028593              0    -0.89481433              0
             26     -0.7922019              0     -1.6571721              0     0.07276832              0
             28      0.1355665              0    -0.69010622              0     0.96123922              0
             30     -0.2761917              0    -0.94232266              0     0.38993926              0
             32      0.9973788              0     0.44713922              0      1.5476184              0
             34      1.0280598              0     0.48292129              0      1.5731983              0
             36     -2.0829148              0     -3.6354355              0     -0.5303941              0
             38     -0.8512917              0     -1.4301921              0    -0.27239127              0
             40     -0.0123662              0    -0.51951372              0     0.49478132              0
             42     -0.1655538              0    -0.68392891              0     0.35282131              0
             44     -0.0818281              0      -0.457574              0      0.2939178              0
             46      0.0004172              0    -0.42001982              0     0.42085422              0
             48     -0.0630586              0    -0.75222641              0     0.62610921              0
             50     -0.6786231              0     -1.1696116              0    -0.18763462              0
             52     -0.4792587              0     -0.9509931              0     -0.0075243              0
             54      0.1571756              0    -0.12472003              0     0.43907123              0
             56      0.7699406              0     0.44300752              0      1.0968737              0
             58      0.5922676              0    -0.01346909              0      1.1980043              0
             60     -0.3046598              0    -0.56729416              0    -0.04202544              0
             62      -0.528494              0    -0.84720803              0    -0.20977997              0
             64     0.18125323              0    -0.02334458              0     0.38585104              0
             66     0.40360104              0     0.02002258              0      0.7871795              0
             68     0.40360104              0     0.02002258              0      0.7871795              0
