#  ptzoom_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       -8.88255              0     -12.034858              0      -5.730242              0
              2      19.250638              0      18.462439              0      20.038837              0
              4       1.065667              0     -0.0131436              0      2.1444776              0
              6      -0.861146              0     -1.5345283              0    -0.18776373              0
              8      -1.910385              0     -2.9809588              0     -0.8398112              0
             10      -1.368298              0     -2.1467271              0    -0.58986894              0
             12      -0.910823              0      -1.538811              0    -0.28283496              0
             14       1.359555              0     0.61065417              0      2.1084558              0
             16      -0.689487              0     -1.8582011              0      0.4792271              0
             18     -0.7769211              0     -1.3628194              0    -0.19102283              0
             20      0.1573861              0    -0.55867638              0     0.87344858              0
             22     -0.6045433              0     -1.2811205              0      0.0720339              0
             24      0.1778722              0    -0.76590059              0       1.121645              0
             26     -0.6972108              0     -1.4669779              0     0.07255625              0
             28      0.0113496              0    -0.50299307              0     0.52569227              0
             30      0.5091922              0    -0.23044912              0      1.2488335              0
             32      1.2608687              0     0.78426015              0      1.7374772              0
             34      0.8383579              0     0.07487962              0      1.6018362              0
             36      0.2462639              0     -0.5053343              0      0.9978621              0
             38     -0.7672727              0     -1.2030283              0     -0.3315171              0
             40     -0.5806504              0     -1.0517793              0     -0.1095215              0
             42      0.1223604              0    -0.46815434              0     0.71287514              0
             44      0.1345588              0    -0.41492822              0     0.68404582              0
             46      0.1654537              0    -0.17993342              0     0.51084082              0
             48      0.4426536              0    -0.32504839              0      1.2103556              0
             50     -0.2713929              0    -0.77440869              0     0.23162289              0
             52     -0.6805706              0    -0.99020597              0    -0.37093523              0
             54     -0.0423966              0    -0.37907164              0     0.29427844              0
             56      0.6554314              0     0.26774585              0      1.0431169              0
             58      0.6362615              0     0.42256437              0     0.84995863              0
             60     -0.0303298              0    -0.28061372              0     0.21995412              0
             62     -0.3743904              0    -0.69965927              0    -0.04912153              0
             64     0.18610853              0     0.01536871              0     0.35684835              0
             66     0.41900534              0     0.30714014              0     0.53087054              0
             68     0.41900534              0     0.30714014              0     0.53087054              0
