# pxsec-ptHge15        central        num_err    min (scale)        num_err    max (scale)        num_err
      0.2545029     0.16575141              0     0.16562129              0     0.16588153              0
      0.3536306     0.17103756              0     0.17090289              0     0.17117223              0
      0.4913681     0.17794112              0     0.17780592              0     0.17807632              0
      0.6827538     0.18694676              0     0.18680921              0     0.18708431              0
      0.9486833     0.19846157              0     0.19828725              0     0.19863589              0
       1.318191     0.21286317              0     0.21260785              0     0.21311849              0
       1.831621     0.23093303              0     0.23042733              0     0.23143873              0
       2.545029     0.25223304              0     0.25170406              0     0.25276202              0
       3.536306     0.27703816              0     0.27664307              0     0.27743325              0
       4.913681     0.30515113              0     0.30473689              0     0.30556537              0
       6.827538     0.33502929              0     0.33459339              0     0.33546519              0
       9.486833     0.33502929              0     0.33459339              0     0.33546519              0
