# pxsec-ptHge10        central        num_err    min (scale)        num_err    max (scale)        num_err
      0.2545029     0.16892561              0     0.16879475              0     0.16905647              0
      0.3536306     0.17432234              0       0.174187              0     0.17445768              0
      0.4913681     0.18135465              0     0.18121887              0     0.18149043              0
      0.6827538     0.19052696              0     0.19038888              0     0.19066504              0
      0.9486833     0.20225621              0     0.20208122              0      0.2024312              0
       1.318191     0.21695794              0      0.2167024              0     0.21721348              0
       1.831621     0.23543716              0     0.23492832              0       0.235946              0
       2.545029     0.25719896              0     0.25666746              0     0.25773046              0
       3.536306     0.28251764              0     0.28212123              0     0.28291405              0
       4.913681     0.31110479              0     0.31068938              0      0.3115202              0
       6.827538     0.34151373              0     0.34107858              0     0.34194888              0
       9.486833     0.34151373              0     0.34107858              0     0.34194888              0
