#  pxsec-nocuts        central        num_err    min (scale)        num_err    max (scale)        num_err
      0.2545029     0.17152659              0     0.17139568              0      0.1716575              0
      0.3536306     0.17701439              0     0.17687894              0     0.17714984              0
      0.4913681      0.1841754              0     0.18403943              0     0.18431137              0
      0.6827538     0.19350597              0     0.19336771              0     0.19364423              0
      0.9486833     0.20543322              0     0.20525797              0     0.20560847              0
       1.318191     0.22035961              0     0.22010387              0     0.22061535              0
       1.831621     0.23908915              0      0.2385808              0      0.2395975              0
       2.545029     0.26118416              0     0.26065259              0     0.26171573              0
       3.536306     0.28701813              0     0.28662138              0     0.28741488              0
       4.913681     0.31606829              0     0.31565275              0     0.31648383              0
       6.827538     0.34688177              0      0.3464464              0     0.34731714              0
       9.486833     0.34688177              0      0.3464464              0     0.34731714              0
