# pxsec-ptHge20        central        num_err    min (scale)        num_err    max (scale)        num_err
      0.2545029    -0.01652608              0   -0.016542819              0   -0.016509341              0
      0.3536306    -0.01562491              0   -0.015640736              0   -0.015609084              0
      0.4913681    -0.01472375              0   -0.014738663              0   -0.014708837              0
      0.6827538    -0.01382258              0   -0.013836581              0   -0.013808579              0
      0.9486833    -0.01292141              0   -0.012934498              0   -0.012908322              0
       1.318191    -0.01202024              0   -0.012032415              0   -0.012008065              0
       1.831621    -0.01111908              0   -0.011130342              0   -0.011107818              0
       2.545029    -0.01021791              0    -0.01022826              0    -0.01020756              0
       3.536306    -0.00931674              0  -0.0093261767              0  -0.0093073033              0
       4.913681   -0.008415573              0   -0.008424097              0   -0.008407049              0
       6.827538   -0.007514405              0  -0.0075220162              0  -0.0075067938              0
       9.486833   -0.007514405              0  -0.0075220162              0  -0.0075067938              0
