# pxsec-ptHge10        central        num_err    min (scale)        num_err    max (scale)        num_err
      0.2545029    -0.01712882              0   -0.017145528              0   -0.017112112              0
      0.3536306    -0.01619479              0   -0.016210587              0   -0.016178993              0
      0.4913681    -0.01526075              0   -0.015275636              0   -0.015245864              0
      0.6827538    -0.01432672              0   -0.014340695              0   -0.014312745              0
      0.9486833    -0.01339268              0   -0.013405744              0   -0.013379616              0
       1.318191    -0.01245865              0   -0.012470803              0   -0.012446497              0
       1.831621    -0.01152461              0   -0.011535852              0   -0.011513368              0
       2.545029    -0.01059058              0    -0.01060091              0    -0.01058025              0
       3.536306   -0.009656542              0  -0.0096659613              0  -0.0096471227              0
       4.913681   -0.008722507              0  -0.0087310152              0  -0.0087139988              0
       6.827538   -0.007788472              0  -0.0077960691              0  -0.0077808749              0
       9.486833   -0.007788472              0  -0.0077960691              0  -0.0077808749              0
