# pxsec-ptHge15        central        num_err    min (scale)        num_err    max (scale)        num_err
      0.2545029    -0.01687264              0   -0.016889368              0   -0.016855912              0
      0.3536306    -0.01595257              0   -0.015968386              0   -0.015936754              0
      0.4913681    -0.01503251              0   -0.015047414              0   -0.015017606              0
      0.6827538    -0.01411244              0   -0.014126432              0   -0.014098448              0
      0.9486833    -0.01319238              0    -0.01320546              0     -0.0131793              0
       1.318191    -0.01227231              0   -0.012284477              0   -0.012260143              0
       1.831621    -0.01135225              0   -0.011363505              0   -0.011340995              0
       2.545029    -0.01043218              0   -0.010442523              0   -0.010421837              0
       3.536306   -0.009512115              0  -0.0095215458              0  -0.0095026842              0
       4.913681    -0.00859205              0  -0.0086005686              0  -0.0085835314              0
       6.827538   -0.007671985              0  -0.0076795914              0  -0.0076643786              0
       9.486833   -0.007671985              0  -0.0076795914              0  -0.0076643786              0
