#  pxsec-nocuts        central        num_err    min (scale)        num_err    max (scale)        num_err
      0.2545029    -0.01734351              0   -0.017359849              0   -0.017327171              0
      0.3536306    -0.01639457              0   -0.016410343              0   -0.016378797              0
      0.4913681    -0.01544902              0   -0.015463884              0   -0.015434156              0
      0.6827538    -0.01450346              0   -0.014517414              0   -0.014489506              0
      0.9486833     -0.0135579              0   -0.013570944              0   -0.013544856              0
       1.318191    -0.01261234              0   -0.012624474              0   -0.012600206              0
       1.831621    -0.01166679              0   -0.011678015              0   -0.011655565              0
       2.545029    -0.01072123              0   -0.010731545              0   -0.010710915              0
       3.536306    -0.00977567              0  -0.0097850752              0  -0.0097662648              0
       4.913681   -0.008830112              0  -0.0088386075              0  -0.0088216165              0
       6.827538   -0.007884554              0  -0.0078921397              0  -0.0078769683              0
       9.486833   -0.007884554              0  -0.0078921397              0  -0.0078769683              0
