#      pt_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      16.246157              0      15.452528              0      17.039786              0
             20     -0.0219519              0    -0.13511656              0     0.09121276              0
             40      0.0346708              0    -0.06364964              0     0.13299124              0
             60     0.09006631              0    0.000796231              0     0.17933639              0
             80     0.01777349              0   -0.066252558              0     0.10179954              0
            100     0.08819641              0    0.056627908              0     0.11976491              0
            120     0.05795908              0    0.022230546              0    0.093687614              0
            140   -0.001372391              0    -0.02161455              0    0.018869768              0
            160    0.017438139              0   -0.002490759              0    0.037367037              0
            180    0.001871208              0   -0.006699817              0    0.010442233              0
            200   -0.008278616              0   -0.018654309              0    0.002097077              0
            220   -0.015068107              0   -0.021937708              0  -0.0081985063              0
            240   0.0031214685              0  -0.0009671535              0   0.0072100905              0
            260  -0.0007894923              0  -0.0067199194              0   0.0051409348              0
            280  -0.0003751075              0  -0.0020646116              0   0.0013143966              0
            300   0.0016209906              0  -0.0016379154              0   0.0048798966              0
            320   0.0017229106              0  0.00081353439              0   0.0026322868              0
            340   0.0017229106              0  0.00081353439              0   0.0026322868              0
