#  ptzoom_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      906.59643              0      874.30733              0      938.88554              0
              2      18.025556              0      15.619813              0        20.4313              0
              4       1.539156              0      0.2317929              0      2.8465191              0
              6      -1.077074              0     -1.7813915              0    -0.37275653              0
              8      -2.250962              0     -3.3639809              0     -1.1379431              0
             10      -1.645317              0     -2.5001508              0    -0.79048317              0
             12      -0.972034              0     -1.6547008              0     -0.2893672              0
             14       1.145746              0     0.39293255              0      1.8985595              0
             16      -0.950137              0     -2.0829187              0      0.1826447              0
             18     -0.7940861              0     -1.3577081              0    -0.23046406              0
             20      0.2093931              0    -0.43956787              0     0.85835407              0
             22     -0.6076903              0     -1.2172896              0     0.00190901              0
             24      0.1263832              0    -0.80847395              0      1.0612404              0
             26     -0.6692319              0     -1.4001191              0     0.06165528              0
             28     -0.0185175              0    -0.55854496              0     0.52150996              0
             30      0.5473133              0    -0.20926472              0      1.3038913              0
             32      1.1797758              0     0.68358445              0      1.6759671              0
             34       0.942681              0      0.1716386              0      1.7137234              0
             36      0.2255542              0    -0.52146205              0     0.97257045              0
             38     -0.7765299              0     -1.2113442              0    -0.34171564              0
             40     -0.6092449              0     -1.0767265              0    -0.14176326              0
             42      0.1173569              0    -0.48001671              0     0.71473051              0
             44      0.1818644              0    -0.35479445              0     0.71852325              0
             46      0.1354539              0    -0.19942207              0     0.47032987              0
             48      0.4384236              0    -0.33684714              0      1.2136943              0
             50     -0.2868047              0    -0.80986336              0     0.23625396              0
             52     -0.6609114              0     -0.9629585              0     -0.3588643              0
             54     -0.0272708              0    -0.35549766              0     0.30095606              0
             56      0.6200505              0     0.22957268              0      1.0105283              0
             58      0.6367654              0     0.41611234              0     0.85741846              0
             60     -0.0306925              0    -0.27423452              0     0.21284952              0
             62    -0.39677428              0    -0.71989873              0    -0.07364983              0
             64     0.20638903              0     0.03315454              0     0.37962352              0
             66     0.39739544              0      0.2899346              0     0.50485628              0
             68     0.39739544              0      0.2899346              0     0.50485628              0
