#  ptzoom_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      2.4322144              0      2.3568988              0        2.50753              0
              2       6.761446              0      6.6200023              0      6.9028897              0
              4      9.5460162              0      9.3581386              0      9.7338938              0
              6      10.862176              0      10.651132              0       11.07322              0
              8      11.127421              0      10.911571              0      11.343271              0
             10      10.626009              0      10.385677              0      10.866341              0
             12      10.066013              0      9.8355774              0      10.296449              0
             14      9.6167821              0      9.4030347              0      9.8305295              0
             16       8.342639              0       8.158359              0       8.526919              0
             18      7.4908509              0      7.2663925              0      7.7153092              0
             20      7.3812891              0      7.1574055              0      7.6051727              0
             22      6.4059377              0      6.2406387              0      6.5712367              0
             24      5.5152962              0       5.364086              0      5.6665064              0
             26      5.0061371              0      4.8590699              0      5.1532043              0
             28      4.6997605              0      4.5544855              0      4.8450355              0
             30      4.2888903              0      4.1441016              0       4.433679              0
             32      3.8063338              0      3.6573746              0       3.955293              0
             34       3.383293              0      3.2391189              0      3.5274671              0
             36      3.1872592              0      2.9868051              0      3.3877133              0
             38      2.9872341              0      2.7778141              0      3.1966541              0
             40      2.4880971              0      2.3409615              0      2.6352327              0
             42      2.4880971              0      2.3409615              0      2.6352327              0
