#      pt_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      71.447314              0      71.425793              0      71.468835              0
             20      38.837325              0       38.82488              0       38.84977              0
             40      15.216144              0      15.211041              0      15.221247              0
             60      6.7536885              0      6.7514584              0      6.7559186              0
             80      3.3197247              0      3.3184469              0      3.3210025              0
            100      1.7564749              0      1.7556952              0      1.7572546              0
            120     0.98263171              0     0.98213867              0     0.98312475              0
            140     0.57466728              0     0.57434928              0     0.57498528              0
            160     0.34822028              0     0.34800781              0     0.34843275              0
            180     0.21779187              0      0.2176472              0     0.21793654              0
            200      0.1398658              0     0.13976649              0     0.13996511              0
            220    0.092119852              0    0.092049097              0    0.092190607              0
            240    0.061958815              0    0.061908422              0    0.062009208              0
            260    0.042495375              0    0.042459046              0    0.042531704              0
            280    0.029665498              0    0.029638093              0    0.029692903              0
            300    0.021019915              0    0.020999663              0    0.021040167              0
            320    0.015130157              0    0.015114917              0    0.015145397              0
            340    0.015130157              0    0.015114917              0    0.015145397              0
