#       y_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
             -3     0.70697501              0     0.70664442              0      0.7073056              0
           -2.8      1.0740195              0      1.0735184              0      1.0745206              0
           -2.6      1.5297362              0      1.5290134              0       1.530459              0
           -2.4      2.0717609              0      2.0707861              0      2.0727357              0
           -2.2      2.6880586              0      2.6867943              0      2.6893229              0
             -2      3.3612809              0      3.3596953              0      3.3628665              0
           -1.8      4.0703119              0      4.0683575              0      4.0722663              0
           -1.6      4.7838299              0      4.7815684              0      4.7860914              0
           -1.4      5.4820959              0      5.4794957              0      5.4846961              0
           -1.2      6.1265125              0      6.1235986              0      6.1294264              0
             -1      6.7011671              0       6.697937              0      6.7043972              0
           -0.8      7.1841862              0      7.1807421              0      7.1876303              0
           -0.6       7.565591              0      7.5619698              0      7.5692122              0
           -0.4      7.8204673              0       7.816723              0      7.8242116              0
           -0.2       7.951053              0      7.9473066              0      7.9547994              0
              0      7.9453663              0      7.9416036              0       7.949129              0
            0.2      7.8166159              0      7.8128699              0      7.8203619              0
            0.4      7.5549005              0      7.5513476              0      7.5584534              0
            0.6      7.1760671              0      7.1726635              0      7.1794707              0
            0.8      6.6935571              0      6.6904203              0      6.6966939              0
              1      6.1139883              0      6.1111789              0      6.1167977              0
            1.2      5.4714779              0      5.4689841              0      5.4739717              0
            1.4      4.7742068              0      4.7720788              0      4.7763348              0
            1.6      4.0613195              0      4.0595254              0      4.0631136              0
            1.8      3.3557954              0      3.3542742              0      3.3573166              0
              2       2.681492              0      2.6803216              0      2.6826624              0
            2.2      2.0682951              0      2.0674082              0       2.069182              0
            2.4       1.528122              0      1.5274905              0      1.5287535              0
            2.6       1.073165              0      1.0727208              0      1.0736092              0
            2.8     0.70608656              0     0.70581463              0     0.70635849              0
              3     0.70608656              0     0.70581463              0     0.70635849              0
