#  ptzoom_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      1.9716822              0      1.9710341              0      1.9723303              0
              2      5.4156217              0      5.4137822              0      5.4174612              0
              4      7.7106388              0       7.707563              0      7.7137146              0
              6      8.8254757              0      8.8215014              0        8.82945              0
              8      9.0929007              0      9.0883852              0      9.0974162              0
             10      8.8459552              0      8.8412182              0      8.8506922              0
             12      8.3397377              0      8.3350307              0      8.3444447              0
             14      7.7187023              0      7.7141007              0      7.7233039              0
             16       7.070255              0      7.0658753              0      7.0746347              0
             18       6.429535              0      6.4254386              0      6.4336314              0
             20       5.821347              0      5.8175054              0      5.8251886              0
             22      5.2758094              0       5.272217              0      5.2794018              0
             24      4.7717584              0      4.7684058              0       4.775111              0
             26      4.3161031              0      4.3129705              0      4.3192357              0
             28      3.9067211              0      3.9037882              0       3.909654              0
             30       3.534774              0      3.5320739              0      3.5374741              0
             32      3.2066063              0      3.2041003              0      3.2091123              0
             34      2.9111379              0       2.908794              0      2.9134818              0
             36      2.6406778              0      2.6385071              0      2.6428485              0
             38      2.4041557              0      2.4021244              0       2.406187              0
             40      2.1916029              0      2.1897113              0      2.1934945              0
             42      2.0031214              0       2.001367              0      2.0048758              0
             44      1.8269554              0      1.8252979              0      1.8286129              0
             46      1.6700857              0      1.6685343              0      1.6716371              0
             48      1.5299375              0      1.5284977              0      1.5313773              0
             50      1.4034318              0      1.4020853              0      1.4047783              0
             52      1.2865231              0      1.2852717              0      1.2877745              0
             54      1.1849135              0      1.1837261              0      1.1861009              0
             56      1.0908666              0      1.0897506              0      1.0919826              0
             58      1.0043461              0      1.0032886              0      1.0054036              0
             60     0.92780569              0     0.92679848              0      0.9288129              0
             62     0.85625205              0     0.85531028              0     0.85719382              0
             64     0.79092173              0     0.79002758              0     0.79181588              0
             66     0.73473405              0      0.7339014              0      0.7355667              0
             68     0.73473405              0      0.7339014              0      0.7355667              0
