#       y_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
             -3      10.282245              0      9.9251935              0      10.639297              0
           -2.8      14.265901              0      13.925894              0      14.605908              0
           -2.6       20.02434              0      19.635868              0      20.412812              0
           -2.4      26.514728              0      26.111242              0      26.918214              0
           -2.2       33.11035              0      32.652253              0      33.568447              0
             -2      40.799488              0      40.236329              0      41.362647              0
           -1.8      49.139006              0      48.606542              0       49.67147              0
           -1.6      55.864692              0      55.284877              0      56.444507              0
           -1.4      64.792722              0      64.113031              0      65.472413              0
           -1.2      72.355241              0      71.731611              0      72.978871              0
             -1      79.390163              0      78.640628              0      80.139698              0
           -0.8      84.055777              0      83.218008              0      84.893546              0
           -0.6      88.147638              0      87.409953              0      88.885323              0
           -0.4      91.027115              0       90.23522              0       91.81901              0
           -0.2      93.009651              0      92.204308              0      93.814994              0
              0      93.009651              0      92.204308              0      93.814994              0
