#    y_Higgs-A1        central        num_err    min (scale)        num_err    max (scale)        num_err
             -3      11.353528              0      6.9255492              0      15.781507              0
           -2.8      14.110471              0      12.043724              0      16.177218              0
           -2.6      17.907344              0      16.451807              0       19.36288              0
           -2.4      21.354543              0      19.358614              0      23.350472              0
           -2.2      32.595562              0       30.52419              0      34.666935              0
             -2      38.828652              0      35.577616              0      42.079688              0
           -1.8       50.19779              0      46.563739              0      53.831841              0
           -1.6      56.347692              0      51.659875              0      61.035509              0
           -1.4      65.058939              0      61.381979              0      68.735899              0
           -1.2       85.29609              0      70.296925              0      100.29526              0
             -1      83.857969              0      79.462852              0      88.253086              0
           -0.8      90.819195              0      85.800443              0      95.837947              0
           -0.6      101.89201              0       96.66911              0      107.11491              0
           -0.4      103.60912              0      99.121925              0      108.09632              0
           -0.2      88.319276              0      81.790554              0      94.847998              0
              0      104.62924              0      98.659133              0      110.59935              0
            0.2      105.19393              0      98.996037              0      111.39182              0
            0.4      101.16783              0      96.175244              0      106.16042              0
            0.6      89.975372              0      85.416359              0      94.534385              0
            0.8      86.439956              0      79.021568              0      93.858344              0
              1      81.083099              0       77.28343              0      84.882768              0
            1.2      64.389148              0      60.787757              0      67.990539              0
            1.4      57.747713              0      54.304304              0      61.191122              0
            1.6      51.297592              0      46.182318              0      56.412866              0
            1.8      37.804381              0      35.397443              0      40.211319              0
              2      28.495055              0      26.486072              0      30.504038              0
            2.2      21.118606              0      19.604682              0       22.63253              0
            2.4      16.168594              0      14.458184              0      17.879004              0
            2.6      10.496467              0      9.4903841              0       11.50255              0
            2.8      7.1974946              0      6.6058902              0       7.789099              0
              3      7.1974946              0      6.6058902              0       7.789099              0
