# y_Higgs-ptHge        central        num_err    min (scale)        num_err    max (scale)        num_err
# 10
             -3              0              0              0              0              0              0
           -2.8              0              0              0              0              0              0
           -2.6              0              0              0              0              0              0
           -2.4              0              0              0              0              0              0
           -2.2              0              0              0              0              0              0
             -2              0              0              0              0              0              0
           -1.8              0              0              0              0              0              0
           -1.6              0              0              0              0              0              0
           -1.4              0              0              0              0              0              0
           -1.2              0              0              0              0              0              0
             -1              0              0              0              0              0              0
           -0.8              0              0              0              0              0              0
           -0.6              0              0              0              0              0              0
           -0.4              0              0              0              0              0              0
           -0.2              0              0              0              0              0              0
              0              0              0              0              0              0              0
            0.2              0              0              0              0              0              0
            0.4      4127.3197              0      4094.4113              0      4160.2281              0
            0.6              0              0              0              0              0              0
            0.8              0              0              0              0              0              0
              1              0              0              0              0              0              0
            1.2              0              0              0              0              0              0
            1.4              0              0              0              0              0              0
            1.6              0              0              0              0              0              0
            1.8              0              0              0              0              0              0
              2              0              0              0              0              0              0
            2.2              0              0              0              0              0              0
            2.4              0              0              0              0              0              0
            2.6              0              0              0              0              0              0
            2.8              0              0              0              0              0              0
              3              0              0              0              0              0              0
