# y_Higgs-ptHge        central        num_err    min (scale)        num_err    max (scale)        num_err
# 15
             -3              0              0              0              0              0              0
           -2.8              0              0              0              0              0              0
           -2.6              0              0              0              0              0              0
           -2.4              0              0              0              0              0              0
           -2.2              0              0              0              0              0              0
             -2              0              0              0              0              0              0
           -1.8              0              0              0              0              0              0
           -1.6              0              0              0              0              0              0
           -1.4              0              0              0              0              0              0
           -1.2              0              0              0              0              0              0
             -1              0              0              0              0              0              0
           -0.8              0              0              0              0              0              0
           -0.6              0              0              0              0              0              0
           -0.4              0              0              0              0              0              0
           -0.2              0              0              0              0              0              0
              0              0              0              0              0              0              0
            0.2              0              0              0              0              0              0
            0.4      2999.8643              0      2968.5306              0       3031.198              0
            0.6              0              0              0              0              0              0
            0.8              0              0              0              0              0              0
              1              0              0              0              0              0              0
            1.2              0              0              0              0              0              0
            1.4              0              0              0              0              0              0
            1.6              0              0              0              0              0              0
            1.8              0              0              0              0              0              0
              2              0              0              0              0              0              0
            2.2              0              0              0              0              0              0
            2.4              0              0              0              0              0              0
            2.6              0              0              0              0              0              0
            2.8              0              0              0              0              0              0
              3              0              0              0              0              0              0
