#  ptzoom_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      140.23081              0      139.51456              0      140.94706              0
              2      138.35538              0      137.68186              0       139.0289              0
              4      101.96467              0      101.21028              0      102.71906              0
              6      79.750393              0      79.004894              0      80.495892              0
              8      65.381915              0       64.45802              0       66.30581              0
             10      51.531814              0      50.605971              0      52.457657              0
             12      43.404535              0      42.646439              0      44.162631              0
             14      34.844886              0      34.149183              0      35.540589              0
             16      32.542355              0      31.562072              0      33.522638              0
             18       26.45577              0      25.766369              0      27.145171              0
             20      22.852043              0      22.254871              0      23.449215              0
             22      19.794129              0      19.195184              0      20.393074              0
             24      18.885179              0      18.097324              0      19.673034              0
             26       15.96349              0      15.112501              0      16.814479              0
             28      13.418523              0      12.606921              0      14.230125              0
             30      12.365515              0      11.716601              0      13.014429              0
             32       9.617766              0      9.0893103              0      10.146222              0
             34      8.4567522              0      7.9320337              0      8.9814707              0
             36      10.586604              0      9.0473442              0      12.125864              0
             38      8.6118798              0      8.0728726              0       9.150887              0
             40      6.7652463              0      6.2805608              0      7.2499318              0
             42      6.3606117              0      5.8575358              0      6.8636876              0
             44      5.6466655              0      5.2911215              0      6.0022095              0
             46      5.0045597              0      4.6030852              0      5.4060342              0
             48      4.8096142              0      4.1320869              0      5.4871415              0
             50      4.7672014              0      4.2877854              0      5.2466174              0
             52      4.2161193              0      3.7521409              0      4.6800977              0
             54      3.2007186              0      2.9294424              0      3.4719948              0
             56      2.5813951              0       2.264953              0      2.8978371              0
             58      2.3709575              0      1.7734337              0      2.9684814              0
             60      2.8835796              0      2.6372548              0      3.1299044              0
             62      2.9616409              0      2.6505137              0      3.2727681              0
             64      2.0212426              0      1.8293652              0        2.21312              0
             66       1.628061              0      1.2551291              0      2.0009929              0
             68       1.628061              0      1.2551291              0      2.0009929              0
