#       y_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
             -3      68.246064              0       61.88995              0      74.602178              0
           -2.8      94.786988              0      90.688325              0      98.885651              0
           -2.6      119.87726              0      116.87372              0       122.8808              0
           -2.4      146.17055              0      142.77945              0      149.56165              0
           -2.2       198.1487              0      194.64065              0      201.65675              0
             -2      236.63118              0      232.10962              0      241.15274              0
           -1.8      282.00824              0      277.31312              0      286.70336              0
           -1.6      321.06281              0      315.00491              0      327.12071              0
           -1.4       364.3407              0      357.53936              0      371.14204              0
           -1.2      414.06486              0      398.26318              0      429.86654              0
             -1      431.79274              0      425.62204              0      437.96344              0
           -0.8      462.88049              0      455.87958              0       469.8814              0
           -0.6      484.83909              0      478.20802              0      491.47016              0
           -0.4      497.59489              0      490.66997              0      504.51981              0
           -0.2      498.17995              0      489.79294              0      506.56696              0
              0      502.86247              0      495.30708              0      510.41786              0
            0.2      501.48946              0      493.70521              0      509.27371              0
            0.4      491.35111              0      484.21166              0      498.49056              0
            0.6      460.81864              0        454.682              0      466.95528              0
            0.8      436.26549              0      427.82702              0      444.70396              0
              1      400.95298              0      395.06645              0      406.83951              0
            1.2      360.04161              0      354.63883              0      365.44439              0
            1.4      318.13238              0      313.13884              0      323.12592              0
            1.6      280.47174              0      274.54462              0      286.39886              0
            1.8      233.80052              0      229.50654              0       238.0945              0
              2      187.63618              0      184.35618              0      190.91618              0
            2.2      153.92664              0      149.21309              0      158.64019              0
            2.4      112.91948              0      106.21259              0      119.62637              0
            2.6      86.043375              0      84.053582              0      88.033168              0
            2.8      61.118416              0      58.636765              0      63.600067              0
              3      61.118416              0      58.636765              0      63.600067              0
