# dphi_Higgs_je        central        num_err    min (scale)        num_err    max (scale)        num_err
# t-B1
              0      6.6695078              0      6.3436583              0      6.9953573              0
            0.4      6.7666146              0      6.5234852              0       7.009744              0
            0.8      8.6341624              0      8.1194629              0      9.1488619              0
            1.2      11.881846              0      11.448056              0      12.315636              0
            1.6      18.334281              0      17.902081              0      18.766481              0
              2      36.541563              0      35.757391              0      37.325735              0
            2.4      107.52615              0      106.17169              0      108.88061              0
            2.8      504.67477              0       494.0866              0      515.26294              0
            3.2      504.67477              0       494.0866              0      515.26294              0
