#      pt_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      71.446252              0      71.243637              0      71.648867              0
             20      14.055188              0      13.837213              0      14.273163              0
             40      4.5723089              0      4.4468899              0      4.6977279              0
             60      1.9197778              0      1.8422728              0      1.9972828              0
             80     0.76279502              0     0.66952214              0      0.8560679              0
            100     0.39952041              0     0.35641517              0     0.44262565              0
            120     0.31722781              0     0.24777538              0     0.38668024              0
            140     0.13172749              0    0.095940642              0     0.16751434              0
            160    0.063769139              0    0.040003471              0    0.087534807              0
            180    0.048612286              0    0.041638549              0    0.055586023              0
            200    0.041658201              0     0.03348481              0    0.049831592              0
            220    0.024264675              0     0.01906921              0     0.02946014              0
            240    0.012785168              0   0.0094182232              0    0.016152113              0
            260    0.011157151              0   0.0079155462              0    0.014398756              0
            280   0.0091715674              0   0.0054241463              0    0.012918989              0
            300   0.0068317844              0   0.0041703888              0     0.00949318              0
            320   0.0016721044              0   0.0012412924              0   0.0021029164              0
            340   0.0016721044              0   0.0012412924              0   0.0021029164              0
