#    y_Higgs-B1        central        num_err    min (scale)        num_err    max (scale)        num_err
             -3      9.2067865              0      4.8279152              0      13.585658              0
           -2.8      11.698781              0      9.6770928              0      13.720469              0
           -2.6      14.290654              0      13.057779              0      15.523529              0
           -2.4      17.738691              0       15.75233              0      19.725052              0
           -2.2      26.249064              0      24.337179              0      28.160949              0
             -2       31.21149              0      28.026451              0      34.396529              0
           -1.8      39.093994              0       36.30935              0      41.878638              0
           -1.6      46.991046              0      42.333619              0      51.648474              0
           -1.4      54.295594              0      50.662847              0      57.928341              0
           -1.2      58.203043              0      54.564646              0       61.84144              0
             -1      69.409476              0      65.110563              0      73.708389              0
           -0.8       75.03911              0       70.11764              0      79.960581              0
           -0.6      81.887116              0      77.082916              0      86.691316              0
           -0.4      85.265947              0      80.971962              0      89.559932              0
           -0.2      67.933576              0      61.623523              0      74.243629              0
              0      81.594464              0      75.986812              0      87.202117              0
            0.2      87.229513              0      81.156714              0      93.302312              0
            0.4      83.184169              0      78.480947              0      87.887391              0
            0.6      70.962848              0      66.907939              0      75.017756              0
            0.8      69.262652              0       62.02883              0      76.496474              0
              1      67.670388              0      63.984433              0      71.356343              0
            1.2      52.989345              0      49.458069              0      56.520621              0
            1.4        45.8968              0      42.967362              0      48.826238              0
            1.6      42.221597              0      37.163657              0      47.279537              0
            1.8      29.806762              0      27.798987              0      31.814537              0
              2      23.007184              0      21.066333              0      24.948035              0
            2.2      17.555629              0      16.057061              0      19.054197              0
            2.4      12.305453              0      10.760467              0      13.850439              0
            2.6      8.5018692              0      7.5281563              0      9.4755821              0
            2.8       5.881374              0      5.3156816              0      6.4470664              0
              3       5.881374              0      5.3156816              0      6.4470664              0
