# Ry_Higgs_jet-        central        num_err    min (scale)        num_err    max (scale)        num_err
# B1
              0     0.48635611              0     0.34308983              0     0.62962239              0
            0.2      1.2593608              0       1.116102              0      1.4026196              0
            0.4      2.3736815              0      2.0356543              0      2.7117087              0
            0.6      3.3034309              0      3.0922824              0      3.5145794              0
            0.8      4.2814989              0      3.9628135              0      4.6001843              0
              1      6.5129596              0      5.6003289              0      7.4255903              0
            1.2         7.9536              0      7.3599913              0      8.5472087              0
            1.4      9.1348293              0      8.4880997              0      9.7815589              0
            1.6       11.48199              0      11.036613              0      11.927367              0
            1.8      15.149301              0      14.484675              0      15.813927              0
              2      18.432838              0       17.98195              0      18.883726              0
            2.2      28.045768              0      27.233679              0      28.857857              0
            2.4      43.567912              0      42.459899              0      44.675925              0
            2.6      77.749051              0      75.723755              0      79.774347              0
            2.8      162.78527              0      159.32883              0      166.24171              0
              3      400.07753              0      386.58401              0      413.57106              0
            3.2      208.29105              0      195.18963              0      221.39247              0
            3.4      148.69942              0      140.16103              0      157.23781              0
            3.6      94.851547              0      89.479817              0      100.22328              0
            3.8      63.883905              0      59.767857              0      67.999953              0
              4      38.494631              0      35.767828              0      41.221434              0
            4.2      29.936088              0      26.056396              0       33.81578              0
            4.4      7.4259016              0      1.7812223              0      13.070581              0
            4.6      8.8832632              0      7.7362218              0      10.030305              0
            4.8      5.2168325              0      4.6638393              0      5.7698257              0
              5      5.2168325              0      4.6638393              0      5.7698257              0
