# ptzoom_Higgs-        central        num_err    min (scale)        num_err    max (scale)        num_err
# B1
              0    0.079122145              0    0.074656498              0    0.083587792              0
              2      0.2458238              0     0.23560854              0     0.25603906              0
              4     0.41647415              0     0.40293344              0     0.43001486              0
              6     0.60814331              0       0.590184              0     0.62610262              0
              8      0.9568927              0     0.90664499              0      1.0071404              0
             10       1.199077              0      1.1503179              0      1.2478361              0
             12      1.5172125              0      1.4669341              0      1.5674909              0
             14      2.1514246              0      2.0930864              0      2.2097628              0
             16      3.2778254              0      3.1708366              0      3.3848142              0
             18      4.9006277              0      4.6430212              0      5.1582342              0
             20      5.4163033              0      4.9474687              0      5.8851379              0
             22      6.6910579              0      6.2400787              0      7.1420371              0
             24      8.6197116              0      7.9296992              0       9.309724              0
             26      7.6298623              0      6.8448339              0      8.4148907              0
             28       6.573972              0      5.8196735              0      7.3282705              0
             30      6.6901584              0      6.1061341              0      7.2741827              0
             32      5.5198687              0      5.0591103              0      5.9806271              0
             34      5.0951933              0      4.6666884              0      5.5236982              0
             36      5.7902825              0       5.334485              0        6.24608              0
             38      5.1620799              0       4.717364              0      5.6067958              0
             40      4.3337359              0      3.9062587              0       4.761213              0
             42      4.4166785              0      3.9513087              0      4.8820483              0
             44      3.6552503              0      3.3654316              0       3.945069              0
             46      3.6869706              0      3.3494392              0       4.024502              0
             48      2.8888548              0      2.4288654              0      3.3488442              0
             50      3.5882983              0       3.171779              0      4.0048176              0
             52      2.9884573              0       2.575612              0      3.4013026              0
             54      2.4025489              0      2.1622806              0      2.6428172              0
             56      1.8244592              0      1.5809298              0      2.0679885              0
             58      1.6393014              0      1.0626771              0      2.2159257              0
             60      2.1049978              0      1.8828268              0      2.3271688              0
             62      2.1252278              0      1.8813346              0       2.369121              0
             64      1.5701408              0      1.3980794              0      1.7422022              0
             66      1.1715348              0      0.8077182              0      1.5353514              0
             68      1.1715348              0      0.8077182              0      1.5353514              0
