# dy_Higgs_jet-        central        num_err    min (scale)        num_err    max (scale)        num_err
# A1
             -3      17.298994              0      15.162801              0      19.435187              0
           -2.8      20.899407              0      19.467496              0      22.331318              0
           -2.6      26.896368              0      24.681926              0       29.11081              0
           -2.4      31.699932              0      30.237272              0      33.162593              0
           -2.2       38.80511              0      36.282349              0      41.327871              0
             -2        44.8806              0      41.999441              0      47.761759              0
           -1.8       54.57843              0      51.042836              0      58.114024              0
           -1.6      57.085671              0      52.717426              0      61.453916              0
           -1.4       70.34224              0      66.879022              0      73.805458              0
           -1.2      74.751365              0      69.537208              0      79.965522              0
             -1      63.085915              0      55.801287              0      70.370543              0
           -0.8      91.088111              0      75.721687              0      106.45453              0
           -0.6      80.239872              0       76.55455              0      83.925194              0
           -0.4      81.203198              0       75.56595              0      86.840446              0
           -0.2      80.086131              0      75.783181              0      84.389081              0
              0      90.829327              0         84.456              0      97.202654              0
            0.2      70.047743              0      64.742535              0      75.352951              0
            0.4      82.795178              0       77.42024              0      88.170116              0
            0.6      83.166496              0      78.359956              0      87.973036              0
            0.8      74.238386              0      68.863924              0      79.612848              0
              1      81.024527              0      76.923601              0      85.125453              0
            1.2      60.199502              0      56.653564              0       63.74544              0
            1.4      57.758111              0      53.880254              0      61.635968              0
            1.6      56.801801              0      51.658772              0       61.94483              0
            1.8       46.40855              0      43.691333              0      49.125767              0
              2      38.719056              0      35.713674              0      41.724438              0
            2.2      31.426204              0      29.302024              0      33.550384              0
            2.4      27.099118              0      24.891769              0      29.306466              0
            2.6       20.20857              0      19.181263              0      21.235877              0
            2.8      14.336353              0      13.000743              0      15.671963              0
              3      14.336353              0      13.000743              0      15.671963              0
