#      pt_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     -1068.0425              0     -1117.2864              0     -1018.7986              0
             20      -1.614212              0     -1.7555552              0     -1.4728688              0
             40       0.032343              0    -0.11211963              0     0.17680563              0
             60      0.0045986              0   -0.028233073              0    0.037430273              0
             80      0.0691842              0     0.06527258              0     0.07309582              0
            100      0.0643957              0    0.063168772              0    0.065622628              0
            120     0.04750321              0    0.031233814              0    0.063772606              0
            140     0.03063541              0    0.027870127              0    0.033400693              0
            160      0.0250029              0    0.017042181              0    0.032963619              0
            180     0.01884012              0    0.016549608              0    0.021130632              0
            200     0.01384589              0     0.01306815              0     0.01462363              0
            220    0.011162532              0   0.0082023668              0    0.014122697              0
            240      0.0096223              0   0.0090031593              0    0.010241441              0
            260    0.008556127              0   0.0069543164              0    0.010157938              0
            280    0.007636524              0   0.0066202778              0   0.0086527702              0
            300    0.005827863              0   0.0050359456              0   0.0066197804              0
            320    0.003766903              0   0.0034158085              0   0.0041179975              0
            340    0.003766903              0   0.0034158085              0   0.0041179975              0
