#       y_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
             -3     -6.3718002              0     -6.6622221              0     -6.0813783              0
           -2.8     -9.3023573              0     -9.6621606              0     -8.9425539              0
           -2.6     -12.811533              0     -13.492848              0     -12.130218              0
           -2.4     -16.782064              0     -17.537529              0     -16.026599              0
           -2.2     -21.341016              0     -22.349033              0     -20.332999              0
             -2     -26.012193              0     -27.194712              0     -24.829674              0
           -1.8     -30.795375              0     -32.121147              0     -29.469603              0
           -1.6     -35.743917              0     -37.412309              0     -34.075525              0
           -1.4     -40.127297              0     -41.915013              0     -38.339581              0
           -1.2     -44.351685              0     -46.183744              0     -42.519626              0
             -1     -47.960981              0     -50.113571              0     -45.808391              0
           -0.8     -51.004582              0     -53.094084              0      -48.91508              0
           -0.6     -53.152767              0     -55.561229              0     -50.744305              0
           -0.4     -54.774639              0     -56.857255              0     -52.692023              0
           -0.2      -56.26307              0     -58.681364              0     -53.844776              0
              0     -55.998018              0     -58.560669              0     -53.435366              0
            0.2       -55.5058              0      -58.10748              0      -52.90412              0
            0.4     -53.585978              0      -55.87555              0     -51.296406              0
            0.6     -51.417789              0     -54.033947              0     -48.801631              0
            0.8     -48.398916              0     -50.502985              0     -46.294847              0
              1     -44.539957              0     -46.319936              0     -42.759978              0
            1.2     -39.988943              0     -41.578569              0     -38.399317              0
            1.4     -35.680521              0     -37.124076              0     -34.236966              0
            1.6     -30.877147              0     -32.277959              0     -29.476336              0
            1.8     -26.092033              0     -27.307632              0     -24.876434              0
              2     -21.347626              0     -22.398682              0      -20.29657              0
            2.2     -16.828252              0      -17.59942              0     -16.057084              0
            2.4      -12.85675              0     -13.467754              0     -12.245746              0
            2.6     -9.3474091              0     -9.8183189              0     -8.8764993              0
            2.8     -6.4040028              0     -6.7328294              0     -6.0751761              0
              3     -6.4040028              0     -6.7328294              0     -6.0751761              0
