#  ptzoom_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     -1099.0532              0     -1144.9881              0     -1053.1183              0
              2        23.0577              0      22.925906              0      23.189494              0
              4        2.74299              0      2.6856766              0      2.8003034              0
              6      -0.764063              0    -0.83416959              0    -0.69395641              0
              8      -1.253495              0     -1.3507446              0     -1.1562454              0
             10      -1.184876              0     -1.2149133              0     -1.1548387              0
             12       -0.79981              0    -0.83296788              0    -0.76665212              0
             14      -0.664762              0    -0.77663592              0    -0.55288808              0
             16      -0.211635              0    -0.33284307              0    -0.09042693              0
             18      -0.238298              0    -0.38502058              0    -0.09157542              0
             20      -0.068822              0    -0.21994523              0     0.08230123              0
             22      0.1013974              0    -0.12477303              0     0.32756783              0
             24      0.0111564              0   -0.039726528              0    0.062039328              0
             26      0.0012477              0   -0.049906784              0    0.052402184              0
             28      0.0670934              0    0.040906517              0    0.093280283              0
             30      0.1519738              0     0.14376689              0     0.16018071              0
             32      0.1307859              0     0.10985056              0     0.15172124              0
             34      0.1916744              0     0.15691327              0     0.22643553              0
             36      0.1981052              0     0.08976233              0     0.30644807              0
             38      0.1789299              0     0.17138056              0     0.18647924              0
             40      0.1912496              0     0.17521622              0     0.20728298              0
             42      0.2244074              0      0.1692211              0      0.2795937              0
             44      0.2529159              0     0.11011486              0     0.39571694              0
             46      0.1787777              0     0.17346012              0     0.18409528              0
             48      0.2166881              0     0.18341823              0     0.24995797              0
             50      0.1680385              0     0.12761834              0     0.20845866              0
             52      0.1576638              0     0.14851175              0     0.16681585              0
             54      0.2468381              0     0.22240236              0     0.27127384              0
             56      0.1999378              0     0.15512767              0     0.24474793              0
             58      0.1469736              0     0.14233167              0     0.15161553              0
             60     0.14650229              0     0.13263679              0     0.16036779              0
             62     0.16147805              0     0.10903917              0     0.21391693              0
             64     0.18559223              0     0.11455128              0     0.25663318              0
             66     0.14678615              0     0.12584028              0     0.16773202              0
             68     0.14678615              0     0.12584028              0     0.16773202              0
