#      pt_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       0.431753              0     0.18725604              0     0.67624996              0
             20     -0.0545279              0    -0.16879055              0     0.05973475              0
             40      0.0171113              0   -0.082281441              0     0.11650404              0
             60     0.08906941              0   -0.000282442              0     0.17842126              0
             80     0.01544243              0   -0.067663176              0    0.098548036              0
            100     0.08795182              0     0.05593564              0       0.119968              0
            120     0.05715812              0    0.021577762              0    0.092738478              0
            140   -0.001370201              0   -0.021545375              0    0.018804973              0
            160    0.017413697              0   -0.002592474              0    0.037419868              0
            180    0.001808984              0  -0.0067707605              0    0.010388728              0
            200   -0.008281172              0   -0.018622539              0    0.002060195              0
            220   -0.015110048              0   -0.021985959              0  -0.0082341373              0
            240   -0.015110048              0   -0.021985959              0  -0.0082341373              0
