#       y_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
             -3      0.2362689              0     0.21469127              0     0.25784653              0
           -2.6      0.4638177              0     0.42213776              0     0.50549764              0
           -2.2        0.79036              0     0.73706082              0     0.84365918              0
           -1.8        0.83537              0     0.78578384              0     0.88495616              0
           -1.4       1.199363              0      1.0555235              0      1.3432025              0
             -1        1.51584              0        1.26517              0        1.76651              0
           -0.6       1.672869              0      1.3554337              0      1.9903043              0
           -0.2       1.543959              0      1.3108851              0      1.7770329              0
            0.2       1.672608              0      1.5685669              0      1.7766491              0
            0.6       1.558253              0      1.3469454              0      1.7695606              0
              1       1.419732              0      1.1912865              0      1.6481775              0
            1.4       1.038849              0     0.89051663              0      1.1871814              0
            1.8        0.76817              0     0.66525398              0     0.87108602              0
            2.2      0.4382487              0     0.40951881              0     0.46697859              0
            2.6       0.272919              0     0.25546289              0     0.29037511              0
              3       0.272919              0     0.25546289              0     0.29037511              0
