#       y_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
             -3     -5.4763702              0     -5.8201848              0     -5.1325556              0
           -2.8     -8.0243973              0     -8.5254557              0     -7.5233389              0
           -2.6     -10.963133              0     -11.673837              0     -10.252429              0
           -2.4     -14.440664              0     -15.335738              0      -13.54559              0
           -2.2     -18.264616              0     -19.429512              0      -17.09972              0
             -2     -22.395493              0      -23.79937              0     -20.991616              0
           -1.8     -26.589475              0     -28.200235              0     -24.978715              0
           -1.6     -30.668617              0     -32.608108              0     -28.729126              0
           -1.4     -34.751497              0     -36.831301              0     -32.671693              0
           -1.2     -38.320585              0      -40.63881              0      -36.00236              0
             -1     -41.431281              0     -43.901578              0     -38.960984              0
           -0.8     -44.203882              0      -46.86021              0     -41.547554              0
           -0.6     -46.036867              0     -48.799076              0     -43.274658              0
           -0.4     -47.386839              0     -50.162309              0     -44.611369              0
           -0.2      -48.44977              0     -51.455919              0     -45.443621              0
              0     -48.134318              0     -51.119006              0      -45.14963              0
            0.2       -47.5769              0     -50.648827              0     -44.504973              0
            0.4     -46.217978              0     -49.121755              0     -43.314201              0
            0.6     -44.260189              0     -47.034766              0     -41.485612              0
            0.8     -41.603516              0     -44.208782              0      -38.99825              0
              1     -38.322257              0     -40.712351              0     -35.932163              0
            1.2     -34.581943              0     -36.635556              0      -32.52833              0
            1.4     -30.814921              0     -32.707882              0     -28.921959              0
            1.6     -26.712547              0     -28.346377              0     -25.078717              0
            1.8     -22.420833              0     -23.839721              0     -21.001945              0
              2     -18.362126              0     -19.548832              0      -17.17542              0
            2.2     -14.476252              0     -15.387507              0     -13.564997              0
            2.4      -11.06695              0     -11.768335              0     -10.365565              0
            2.6     -8.0220591              0     -8.5445526              0     -7.4995656              0
            2.8     -5.5052428              0     -5.8584903              0     -5.1519953              0
              3     -5.5052428              0     -5.8584903              0     -5.1519953              0
