#      pt_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      -922.8525              0     -980.48242              0     -865.22258              0
             20      -1.663012              0     -1.7220692              0     -1.6039548              0
             40      -0.143877              0    -0.22893211              0    -0.05882189              0
             60      0.0024986              0   -0.009269668              0    0.014266868              0
             80      0.0204142              0    0.001722336              0    0.039106064              0
            100      0.0370707              0    0.026593428              0    0.047547972              0
            120     0.02476121              0    0.014592941              0    0.034929479              0
            140     0.01634641              0    0.010898345              0    0.021794475              0
            160      0.0145779              0   0.0099094807              0    0.019246319              0
            180     0.01615532              0    0.014882671              0    0.017427969              0
            200     0.01078249              0   0.0095843559              0    0.011980624              0
            220    0.006756232              0   0.0048131816              0   0.0086992824              0
            240      0.0069482              0   0.0059208109              0   0.0079755891              0
            260    0.005141677              0   0.0037710352              0   0.0065123188              0
            280    0.004548284              0   0.0033245452              0   0.0057720228              0
            300    0.004175223              0   0.0035116677              0   0.0048387783              0
            320    0.002881833              0   0.0025394385              0   0.0032242275              0
            340    0.002881833              0   0.0025394385              0   0.0032242275              0
