#  ptzoom_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     -970.09319              0     -1023.6891              0     -916.49725              0
              2        22.2227              0      21.878121              0      22.567279              0
              4        2.55269              0      2.4581424              0      2.6472376              0
              6      -0.751463              0    -0.79723992              0    -0.70568608              0
              8      -1.338195              0     -1.3947138              0     -1.2816762              0
             10      -1.171076              0     -1.1992376              0     -1.1429144              0
             12       -0.83321              0     -0.8602014              0     -0.8062186              0
             14      -0.648062              0     -0.6908833              0     -0.6052407              0
             16      -0.370035              0    -0.44648873              0    -0.29358127              0
             18      -0.281288              0    -0.33586331              0    -0.22671269              0
             20      -0.196272              0    -0.26899778              0    -0.12354622              0
             22     -0.0981826              0    -0.20825546              0     0.01189026              0
             24      0.0126864              0   -0.006799215              0    0.032172015              0
             26     -0.0248423              0   -0.046524533              0   -0.003160067              0
             28      0.0031734              0   -0.023827933              0    0.030174733              0
             30      0.0523438              0    0.013577859              0    0.091109741              0
             32      0.0760059              0     0.05277914              0     0.09923266              0
             34      0.1188444              0    0.087726259              0     0.14996254              0
             36      0.1329152              0    0.088019129              0     0.17781127              0
             38      0.0972099              0    0.065204469              0     0.12921533              0
             40      0.0999096              0    0.064336973              0     0.13548223              0
             42      0.1284174              0    0.087248278              0     0.16958652              0
             44      0.1135959              0    0.040675387              0     0.18651641              0
             46      0.1416877              0     0.12706691              0     0.15630849              0
             48      0.1215881              0    0.083299676              0     0.15987652              0
             50      0.1262075              0     0.10482796              0     0.14758704              0
             52      0.1208198              0      0.1062343              0      0.1354053              0
             54      0.1397101              0    0.098085724              0     0.18133448              0
             56      0.1073908              0    0.068806326              0     0.14597527              0
             58      0.1057676              0    0.089938269              0     0.12159693              0
             60     0.10539129              0    0.089157422              0     0.12162516              0
             62     0.10791705              0     0.08037893              0     0.13545517              0
             64     0.11619623              0    0.080182096              0     0.15221036              0
             66     0.10507915              0    0.087407237              0     0.12275106              0
             68     0.10507915              0    0.087407237              0     0.12275106              0
