#       y_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
             -3        4.45529              0      4.4543526              0      4.4562274              0
           -2.6       9.011168              0      9.0092837              0      9.0130523              0
           -2.2      15.129655              0      15.126487              0      15.132823              0
           -1.8      22.138101              0      22.133493              0      22.142709              0
           -1.4      29.025108              0      29.019055              0      29.031161              0
             -1      34.723639              0      34.716403              0      34.730875              0
           -0.6      38.465219              0      38.457199              0      38.473239              0
           -0.2       39.76354              0      39.755298              0      39.771782              0
            0.2      38.447305              0      38.439289              0      38.455321              0
            0.6      34.708618              0      34.701437              0      34.715799              0
              1      28.997798              0      28.991906              0       29.00369              0
            1.4      22.120934              0      22.116484              0      22.125384              0
            1.8       15.11596              0      15.112976              0      15.118944              0
            2.2       9.002117              0      9.0004053              0      9.0038287              0
            2.6      4.4514686              0      4.4506508              0      4.4522864              0
              3      4.4514686              0      4.4506508              0      4.4522864              0
