#  ptzoom_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      814.69643              0      777.19142              0      852.20144              0
              2      18.767656              0      17.136799              0      20.398513              0
              4       2.032956              0      1.2682728              0      2.7976392              0
              6      -1.524174              0     -1.9585474              0     -1.0898006              0
              8      -1.634362              0     -2.2456999              0     -1.0230241              0
             10      -1.790717              0     -2.2925065              0     -1.2889275              0
             12      -0.567034              0    -0.99983258              0    -0.13423542              0
             14      -0.411154              0     -1.0579911              0     0.23568308              0
             16      -1.255037              0     -1.8524918              0    -0.65758221              0
             18     -0.0285361              0    -0.45171727              0     0.39464507              0
             20     -0.1146969              0      -0.542201              0      0.3128072              0
             22     -0.8242403              0     -1.2093712              0    -0.43910936              0
             24      0.3126632              0    -0.20714511              0     0.83247151              0
             26     -0.6781819              0     -1.0843286              0    -0.27203517              0
             28      0.3147225              0    -0.02376603              0     0.65321103              0
             30      0.0721233              0    -0.35257576              0     0.49682236              0
             32      0.3159158              0    -0.03068664              0     0.66251824              0
             34       0.376351              0    -0.07174449              0     0.82444649              0
             36     -0.0343358              0    -0.42938944              0     0.36071784              0
             38     -0.0632759              0    -0.40732181              0     0.28077001              0
             40      0.0361251              0    -0.28699909              0     0.35924929              0
             42     -0.0175231              0    -0.35467016              0     0.31962396              0
             44     -0.0540156              0    -0.44283247              0     0.33480127              0
             46      0.2907039              0     0.09321643              0     0.48819137              0
             48      0.2923136              0    -0.11124927              0     0.69587647              0
             50      0.0185043              0    -0.29571205              0     0.33272065              0
             52     -0.3734484              0    -0.55487843              0    -0.19201837              0
             54     -0.2278598              0    -0.41902036              0    -0.03669924              0
             56      0.4449285              0     0.21444055              0     0.67541645              0
             58      0.2490714              0     0.07115528              0     0.42698752              0
             60      0.0210395              0    -0.14167489              0     0.18375389              0
             62     -0.0179787              0    -0.24830736              0     0.21234996              0
             64     0.10093703              0    -0.01493964              0      0.2168137              0
             66     0.43025444              0        0.33546              0     0.52504888              0
             68     0.43025444              0        0.33546              0     0.52504888              0
