#      pt_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      14.279157              0       13.56918              0      14.989134              0
             20     -0.0964919              0    -0.16324419              0    -0.02973961              0
             40     -0.0208262              0   -0.088512896              0    0.046860496              0
             60     0.14119931              0     0.09675232              0      0.1856463              0
             80     0.00471949              0   -0.040115199              0    0.049554179              0
            100    -0.02360669              0   -0.067101775              0    0.019888395              0
            120     0.03791778              0    0.018130329              0    0.057705231              0
            140   -0.027413221              0   -0.041119234              0   -0.013707208              0
            160   -0.006231101              0   -0.019159013              0    0.006696811              0
            180    0.003636568              0   -0.002141832              0    0.009414968              0
            200   -0.001153776              0  -0.0077736036              0   0.0054660516              0
            220  -0.0056544569              0   -0.010688831              0  -0.0006200829              0
            240   0.0015395825              0  -0.0014008791              0   0.0044800441              0
            260  -0.0006162943              0   -0.003129132              0   0.0018965434              0
            280  -0.0002255545              0  -0.0014931145              0   0.0010420055              0
            300     6.0606e-06              0  -0.0023803753              0   0.0023924965              0
            320   0.0009348006              0  0.00029076582              0   0.0015788354              0
            340   0.0009348006              0  0.00029076582              0   0.0015788354              0
