#       y_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
             -3      2.6836733              0      2.3042256              0       3.063121              0
           -2.8      3.4791979              0      2.5463064              0      4.4120894              0
           -2.6       5.022902              0      4.9000746              0      5.1457294              0
           -2.4      8.0638965              0      6.4491829              0      9.6786101              0
           -2.2      9.1421421              0      7.9169357              0      10.367349              0
             -2      12.722386              0      9.7640143              0      15.680758              0
           -1.8      14.882489              0      12.088715              0      17.676263              0
           -1.6      13.462431              0      11.014621              0      15.910241              0
           -1.4      20.019461              0       18.01291              0      22.026012              0
           -1.2       24.97863              0      19.084205              0      30.873055              0
             -1      27.401868              0      23.235126              0       31.56861              0
           -0.8      39.893024              0      35.899092              0      43.886956              0
           -0.6      35.844264              0        29.6889              0      41.999628              0
           -0.4      39.498638              0      27.404282              0      51.592994              0
           -0.2      26.140256              0      19.045874              0      33.234638              0
              0        31.3292              0      27.763703              0      34.894697              0
            0.2      30.041772              0      29.814813              0      30.268731              0
            0.4       30.46618              0      25.601985              0      35.330375              0
            0.6      27.866018              0      26.703143              0      29.028893              0
            0.8      25.521714              0      21.515757              0      29.527671              0
              1      23.920222              0      16.750352              0      31.090092              0
            1.2      25.932958              0      17.506458              0      34.359458              0
            1.4      17.398735              0      14.547704              0      20.249766              0
            1.6      15.730128              0      14.729997              0      16.730258              0
            1.8      12.162529              0      7.9577598              0      16.367298              0
              2       9.449595              0      9.1552626              0      9.7439274              0
            2.2      6.4073073              0      5.1120462              0      7.7025684              0
            2.4      5.2512638              0       5.003634              0      5.4988936              0
            2.6       3.017637              0       2.773074              0         3.2622              0
            2.8      1.9656154              0      1.7613212              0      2.1699097              0
              3      1.9656154              0      1.7613212              0      2.1699097              0
