#  ptzoom_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       -0.71077              0     -2.7850361              0      1.3634961              0
              2      12.998901              0      12.728299              0      13.269503              0
              4       1.902246              0      1.8292182              0      1.9752738              0
              6       0.167765              0    -0.00322449              0     0.33875449              0
              8       -0.12715              0    -0.44662731              0     0.19232731              0
             10      -0.436144              0    -0.48452161              0    -0.38776639              0
             12      -0.132062              0    -0.16733172              0   -0.096792283              0
             14      0.1064547              0    -0.04254071              0     0.25545011              0
             16      0.3557228              0      0.3406551              0      0.3707905              0
             18      0.1543727              0     -0.0800046              0        0.38875              0
             20      0.2189822              0    -0.05420944              0     0.49217384              0
             22      0.3995987              0     0.18451155              0     0.61468585              0
             24      0.2761978              0      0.2576181              0      0.2947775              0
             26      0.1148744              0    0.039390839              0     0.19035796              0
             28      0.2291876              0     0.15425461              0     0.30412059              0
             30      0.2809437              0     0.26881335              0     0.29307405              0
             32      0.2520701              0     0.17639482              0     0.32774538              0
             34      0.3182096              0     0.28028083              0     0.35613837              0
             36      0.3229545              0     0.17990326              0     0.46600574              0
             38      0.2129102              0     0.20389053              0     0.22192987              0
             40      0.3263481              0     0.28727462              0     0.36542158              0
             42      0.2353341              0     0.13964392              0     0.33102428              0
             44     0.31765791              0     0.22254791              0      0.4127679              0
             46     0.21040695              0     0.18123186              0     0.23958204              0
             48     0.24640491              0     0.20053831              0     0.29227151              0
             50     0.18056127              0     0.12245145              0     0.23867109              0
             52     0.21451837              0     0.20457092              0     0.22446582              0
             54     0.26630833              0     0.21603841              0     0.31657825              0
             56     0.24296757              0     0.23216168              0     0.25377346              0
             58     0.17177003              0     0.14446204              0     0.19907802              0
             60     0.16507358              0     0.13462965              0     0.19551751              0
             62     0.18732149              0     0.15045808              0      0.2241849              0
             64     0.18406046              0     0.13573037              0     0.23239055              0
             66     0.16629893              0     0.15587499              0     0.17672287              0
             68     0.16629893              0     0.15587499              0     0.17672287              0
