#      pt_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      0.5936437              0     0.41902747              0     0.76825993              0
             20     -0.0664775              0   -0.082998724              0   -0.049956276              0
             40     0.02212828              0    0.004918159              0    0.039338401              0
             60     0.00737109              0   0.0038937172              0    0.010848463              0
             80     0.01435925              0    0.012813671              0    0.015904829              0
            100    0.009145931              0   0.0085572292              0   0.0097346328              0
            120    0.007278726              0   0.0056744179              0   0.0088830341              0
            140    0.004367121              0   0.0040202442              0   0.0047139978              0
            160    0.002484794              0   0.0022563557              0   0.0027132323              0
            180    0.002249011              0   0.0017942934              0   0.0027037286              0
            200   0.0020022291              0   0.0015217392              0   0.0024827191              0
            220   0.0014406202              0   0.0011186367              0   0.0017626037              0
            240   0.0009069219              0   0.0006663787              0   0.0011474651              0
            260   0.0008497007              0  0.00081151402              0  0.00088788738              0
            280   0.0007807337              0  0.00063731757              0  0.00092414983              0
            300    0.000558758              0  0.00055251427              0  0.00056500173              0
            320  0.00034605643              0   0.0002385807              0  0.00045353216              0
            340  0.00034605643              0   0.0002385807              0  0.00045353216              0
